Year,Temperature,Rainfall,Radiation,RelHumidity,FFD
1984,18.71038251,2.489344262,14.8715847,54.6489071,314
1985,19.2630137,2.475890411,14.68493151,54.95780822,314
1986,18.58356164,2.421369863,14.51506849,54.9630137,320
1987,19.10136986,2.319726027,14.6739726,53.87205479,306
1988,20.36065574,2.465300546,14.74863388,53.11885246,306
1989,19.59589041,2.735890411,14.78356164,55.37671233,314
1990,19.87534247,2.398630137,14.67671233,53.43041096,301
1991,19.26849315,2.635616438,14.4109589,53.78684932,301
1992,18.42759563,2.795901639,13.39617486,56.61338798,325
1993,19.33424658,2.878630137,14.26575342,55.89506849,301
1994,19.12054795,1.974794521,14.52328767,53.24958904,309
1995,18.4890411,2.843287671,13.90410959,55.27506849,299
1996,18.47131148,2.814754098,14.33060109,54.85163934,297
1997,19.78767123,1.403013699,14.77534247,51.99616438,334
1998,19.47808219,2.289041096,14.6,53.19150685,265
1999,20.04931507,2.12630137,14.61369863,54.08356164,323
2000,20.12978142,2.471857923,14.6557377,53.96174863,306
2001,19.69589041,2.227945205,14.14520548,54.58410959,305
2002,19.69041096,1.74,14.63835616,52.84739726,380
2003,19.62465753,2.270410959,15.11232877,53.35452055,380
2004,19.10245902,2.620491803,14.64480874,55.6284153,299
2005,20.12465753,2.284109589,15.09315068,52.81342466,277
2006,19.83972603,1.781369863,15.4109589,52.02438356,296
2007,20.8260274,2.191232877,15.19452055,51.27287671,300
2008,19.87295082,1.743169399,14.80327869,52.4726776,285
2009,20.44520548,2.038630137,15.12876712,52.00273973,283
2010,19.78493151,2.777808219,14.29315068,55.64191781,283
2011,19.54931507,2.88630137,14.0109589,56.14520548,317
2012,19.71994536,2.599453552,14.40710383,54.7863388,286
2013,20.49315068,2.540273973,14.43013699,52.76986301,286
2014,20.72252747,2.239285714,14.60164835,52.88159341,286
