Year,RBO,Temperature,Rainfall,Radiation,RelHumidity
1984,0.75500878,18.71038251,2.489344262,14.8715847,93.92650273
1985,0.740751951,19.2630137,2.475890411,14.68493151,94.93589041
1986,0.842386012,18.58356164,2.421369863,14.51506849,94.09506849
1987,0.748442532,19.10136986,2.319726027,14.6739726,94.4969863
1988,0.798408404,20.36065574,2.465300546,14.74863388,94.08142077
1989,0.79388033,19.59589041,2.735890411,14.78356164,96.08684932
1990,0.79256782,19.87534247,2.398630137,14.67671233,93.77917808
1991,0.813869793,19.26849315,2.635616438,14.4109589,93.15561644
1992,0.815284323,18.42759563,2.795901639,13.39617486,94.09863388
1993,0.77580071,19.33424658,2.878630137,14.26575342,94.91972603
1994,0.747185294,19.12054795,1.974794521,14.52328767,93.26931507
1995,0.750819732,18.4890411,2.843287671,13.90410959,94.45863014
1996,0.66444194,18.47131148,2.814754098,14.33060109,94.6
1997,0.694121288,19.78767123,1.403013699,14.77534247,93.74684932
1998,0.704554451,19.47808219,2.289041096,14.6,94.60821918
1999,0.69922592,20.04931507,2.12630137,14.61369863,96.2260274
2000,0.713711576,20.12978142,2.471857923,14.6557377,95.65737705
2001,0.72674225,19.69589041,2.227945205,14.14520548,94.70712329
2002,0.66294836,19.69041096,1.74,14.63835616,93.53232877
2003,0.711822659,19.62465753,2.270410959,15.11232877,94.4709589
2004,0.703993822,19.10245902,2.620491803,14.64480874,95.01420765
2005,0.732116574,20.12465753,2.284109589,15.09315068,94.30356164
2006,0.725802749,19.83972603,1.781369863,15.4109589,94.84493151
2007,0.700771789,20.8260274,2.191232877,15.19452055,94.11068493
2008,0.744515058,19.87295082,1.743169399,14.80327869,94.39508197
2009,0.685304461,20.44520548,2.038630137,15.12876712,94.6309589
2010,0.702262614,19.78493151,2.777808219,14.29315068,96.05205479
2011,0.758267383,19.54931507,2.88630137,14.0109589,95.7060274
2012,0.734637447,19.71994536,2.599453552,14.40710383,94.90519126
2013,0.725516509,20.49315068,2.540273973,14.43013699,93.83479452
2014,0.709091599,20.72252747,2.239285714,14.60164835,94.21016484
