,mortality,temp,chem1,chem2,particle size
1,183.63,72.38,11.51,45.79,72.72
2,191.05,67.19,8.92,43.9,49.6
3,180.09,62.94,9.48,32.18,55.68
4,184.67,72.49,10.28,40.43,55.16
5,173.6,74.25,10.57,48.53,66.02
6,183.73,67.88,7.99,48.61,44.01
7,171.79,74.2,10.51,38.76,47.83
8,177.95,74.88,9.84,45.19,43.6
9,180.01,64.17,6.61,31.65,24.99
10,163.71,67.09,7.9,40.2,40.41
11,179.59,78.29,10.74,48.69,51.93
12,174.43,68.07,5.89,32.93,32.26
13,187.41,86.7,12.7,72.22,73.65
14,163.37,69.43,4.82,37.39,30.15
15,182.37,75.22,7.1,41.79,41.1
16,156.69,77.29,6.29,34.38,41.53
17,174.64,69.96,5.03,32.71,29.46
18,174.84,79.35,7.81,42.56,51.13
19,165.49,82.94,7.97,52.34,41.37
20,186.94,89.79,9.53,63.8,59.49
21,164.5,80.19,7.55,37.49,48.25
22,174.94,87.58,8.61,61.25,51.73
23,164.87,81.76,6.73,42.74,44.21
24,169.54,86.79,9.78,59.4,59.59
25,173.96,87.46,9.28,65.62,60.82
26,171.35,88.21,9.08,60.37,55.01
27,163.97,83.4,7.5,48.91,50.59
28,165.43,86.1,9.8,75.04,55.05
29,173.21,82.16,8.93,59.35,48
30,171.31,81.31,9.81,58.82,55.37
31,166.96,78.99,12.34,86.87,64.44
32,181.75,92.56,16.32,75.19,75
33,174.04,84.5,13.61,83.38,61.46
34,168.36,76.44,11.64,58.92,50.04
35,172.41,73.97,10.19,64.79,49.9
36,167.55,69.63,9.76,47.9,51.14
37,175.63,81.05,22.19,100.12,77.88
38,176.4,69.57,11.02,65.56,46.71
39,182.88,78.05,19.36,78.06,73.86
40,180.92,70.61,20.55,81.84,76.87
41,170,60.95,10.82,52.42,39.85
42,180.78,67.74,20.05,85.3,71.52
43,179.58,68.5,18.6,72.77,63.87
44,184.82,54.84,11.9,56.24,48.81
45,189.37,60.58,16.83,68.28,68.82
46,200.23,62.14,14.66,64.06,64.39
47,212.24,51.26,13.6,71.53,81.76
48,203.75,72.55,20.29,83.08,73.55
49,202.2,64.42,14.13,75.71,67.99
50,188.99,78.25,22.39,82.09,75.37
51,190.97,59.17,11.15,66.85,65.23
52,206.97,80.89,19.96,84.11,69.91
53,186.71,58.63,8.41,47.3,44.34
54,192.81,62.5,7.36,47.77,40.8
55,196.23,67.52,11.45,71.76,55.09
56,185.62,63.56,6.63,56.8,38.44
57,202.41,74.87,10.11,73.64,53.54
58,182.37,64.98,6.23,53.83,42.46
59,188.66,82.7,11.15,66.88,53.22
60,174.09,72.63,7.92,60.33,44.41
61,166.78,65.36,5.38,42.39,31.29
62,167.18,63.33,5.63,42.35,31.1
63,175.92,66.1,5.72,40.36,35.92
64,161.66,64.85,6.41,45.93,37.73
65,175.37,76.37,6.27,51.42,35
66,165.55,75.27,6.35,49.76,36.25
67,169.82,65.15,3.4,35.06,22.75
68,179.47,69.62,4.7,46.43,32.26
69,170.36,72.81,5.09,44.46,34.77
70,170.16,85.57,7.92,70.03,52.73
71,167.49,78.58,5.1,38,36.59
72,163.16,77.32,4.73,40.57,30.04
73,175.13,87.27,7.96,61.38,49.91
74,171.64,86.29,6.28,52.93,42.6
75,163.77,83.55,5.46,38.63,35.89
76,166.97,88.57,6.88,50.95,41.76
77,192.59,95.34,8.86,60.06,47.03
78,175.17,88.18,6.37,48.86,36.62
79,160.42,82.71,4.64,36.23,31.4
80,172.59,89.8,9.06,63.33,46.76
81,166.43,81.63,4.92,49.68,30.6
82,184.67,98.95,12.41,79.61,60.58
83,168.71,82.58,5.63,41.3,33.3
84,170.79,79.74,9.57,60.38,50.08
85,165.98,77.31,9.21,44.48,46.99
86,187.1,99.88,17.13,88.8,73.07
87,164.1,69.19,7.22,40.95,50.28
88,183.75,76.29,13.53,72.73,71.6
89,174.68,64.28,8.43,43.4,50.09
90,189.7,78.61,16.81,78.48,82.85
91,163.23,65.87,9.9,55.68,58.36
92,174.79,68.18,14.13,59.88,62.63
93,177.87,65.98,13.42,72.49,71.27
94,180.78,63.95,9.76,47.26,50.85
95,187.53,57.65,11.27,50.55,65.13
96,187.38,64.27,15.63,67.52,74.74
97,199.58,55.18,7.79,39.03,39.59
98,212.96,63.52,12.95,59.88,69.67
99,206.97,63.95,16.95,77.36,84.23
100,205,69.91,19.75,86.99,84.96
